id_lokasi,kabupaten_kota,provinsi
1,TIDAK ADA,TIDAK ADA
2,LUAR NEGERI,LUAR NEGERI
21,BANDA ACEH,ACEH
23,SABANG,ACEH
26,NIAS SELATAN,SUMATERA UTARA
28,DAIRI,SUMATERA UTARA
29,LABUHAN BATU UTARA,SUMATERA UTARA
30,TAPANULI UTARA,SUMATERA UTARA
31,SIMALUNGUN,SUMATERA UTARA
32,LANGKAT,SUMATERA UTARA
33,SERDANG BEDAGAI,SUMATERA UTARA
34,TAPANULI SELATAN,SUMATERA UTARA
35,ASAHAN,SUMATERA UTARA
40,TOBA SAMOSIR,SUMATERA UTARA
41,TAPANULI TENGAH,SUMATERA UTARA
43,SIBOLGA,SUMATERA UTARA
44,BATU BARA,SUMATERA UTARA
45,SAMOSIR,SUMATERA UTARA
46,PEMATANG SIANTAR,SUMATERA UTARA
47,LABUHAN BATU,SUMATERA UTARA
48,DELI SERDANG,SUMATERA UTARA
49,GUNUNGSITOLI,SUMATERA UTARA
51,NIAS,SUMATERA UTARA
52,KARO,SUMATERA UTARA
53,NIAS BARAT,SUMATERA UTARA
54,MEDAN,SUMATERA UTARA
56,TEBING TINGGI,SUMATERA UTARA
57,BINJAI,SUMATERA UTARA
69,PADANG,SUMATERA BARAT
75,BUKITTINGGI,SUMATERA BARAT
76,PADANG PANJANG,SUMATERA BARAT
77,KEPULAUAN MENTAWAI,SUMATERA BARAT
79,KUANTAN SINGINGI,RIAU
80,PELALAWAN,RIAU
81,PEKANBARU,RIAU
83,BENGKALIS,RIAU
84,INDRAGIRI HULU,RIAU
85,ROKAN HULU,RIAU
86,KAMPAR,RIAU
88,DUMAI,RIAU
89,SIAK,RIAU
90,TEBO,JAMBI
92,MUARO JAMBI,JAMBI
95,BUNGO,JAMBI
98,BATANG HARI,JAMBI
99,JAMBI,JAMBI
101,PALEMBANG,SUMATERA SELATAN
103,OGAN KOMERING ULU TIMUR,SUMATERA SELATAN
107,BANYUASIN,SUMATERA SELATAN
108,MUSI RAWAS,SUMATERA SELATAN
109,MUARA ENIM,SUMATERA SELATAN
110,OGAN KOMERING ULU,SUMATERA SELATAN
111,OGAN KOMERING ILIR,SUMATERA SELATAN
113,LUBUK LINGGAU,SUMATERA SELATAN
114,PRABUMULIH,SUMATERA SELATAN
117,REJANG LEBONG,BENGKULU
120,BENGKULU UTARA,BENGKULU
121,LEBONG,BENGKULU
123,BENGKULU SELATAN,BENGKULU
125,BENGKULU,BENGKULU
126,LAMPUNG UTARA,LAMPUNG
128,LAMPUNG TENGAH,LAMPUNG
129,MESUJI,LAMPUNG
130,PRINGSEWU,LAMPUNG
131,LAMPUNG TIMUR,LAMPUNG
132,LAMPUNG SELATAN,LAMPUNG
136,LAMPUNG BARAT,LAMPUNG
139,BANDAR LAMPUNG,LAMPUNG
140,METRO,LAMPUNG
141,BELITUNG,KEPULAUAN BANGKA BELITUNG
142,BELITUNG TIMUR,KEPULAUAN BANGKA BELITUNG
146,PANGKAL PINANG,KEPULAUAN BANGKA BELITUNG
149,BINTAN,KEPULAUAN RIAU
150,NATUNA,KEPULAUAN RIAU
151,BATAM,KEPULAUAN RIAU
152,TANJUNG PINANG,KEPULAUAN RIAU
153,KARIMUN,KEPULAUAN RIAU
155,JAKARTA UTARA,DAERAH KHUSUS IBUKOTA JAKARTA
156,JAKARTA BARAT,DAERAH KHUSUS IBUKOTA JAKARTA
157,JAKARTA TIMUR,DAERAH KHUSUS IBUKOTA JAKARTA
158,JAKARTA SELATAN,DAERAH KHUSUS IBUKOTA JAKARTA
159,JAKARTA PUSAT,DAERAH KHUSUS IBUKOTA JAKARTA
161,DEPOK,JAWA BARAT
162,KARAWANG,JAWA BARAT
163,CIREBON,JAWA BARAT
164,BANDUNG,JAWA BARAT
165,SUKABUMI,JAWA BARAT
167,INDRAMAYU,JAWA BARAT
170,TASIKMALAYA,JAWA BARAT
171,CIAMIS,JAWA BARAT
174,BOGOR,JAWA BARAT
175,BEKASI,JAWA BARAT
176,GARUT,JAWA BARAT
178,CIANJUR,JAWA BARAT
181,CIMAHI,JAWA BARAT
182,PURBALINGGA,JAWA TENGAH
183,KEBUMEN,JAWA TENGAH
184,MAGELANG,JAWA TENGAH
185,CILACAP,JAWA TENGAH
186,BATANG,JAWA TENGAH
187,BANJARNEGARA,JAWA TENGAH
188,BLORA,JAWA TENGAH
189,BREBES,JAWA TENGAH
190,BANYUMAS,JAWA TENGAH
191,WONOSOBO,JAWA TENGAH
192,TEGAL,JAWA TENGAH
193,PURWOREJO,JAWA TENGAH
194,PATI,JAWA TENGAH
195,SUKOHARJO,JAWA TENGAH
196,KARANGANYAR,JAWA TENGAH
197,PEKALONGAN,JAWA TENGAH
198,PEMALANG,JAWA TENGAH
199,BOYOLALI,JAWA TENGAH
200,GROBOGAN,JAWA TENGAH
201,SEMARANG,JAWA TENGAH
204,KLATEN,JAWA TENGAH
205,KUDUS,JAWA TENGAH
206,TEMANGGUNG,JAWA TENGAH
207,SRAGEN,JAWA TENGAH
208,JEPARA,JAWA TENGAH
209,WONOGIRI,JAWA TENGAH
210,KENDAL,JAWA TENGAH
211,SURAKARTA SOLO,JAWA TENGAH
212,SALATIGA,JAWA TENGAH
213,SLEMAN,DAERAH ISTIMEWA YOGYAKARTA
214,BANTUL,DAERAH ISTIMEWA YOGYAKARTA
215,YOGYAKARTA,DAERAH ISTIMEWA YOGYAKARTA
216,GUNUNG KIDUL,DAERAH ISTIMEWA YOGYAKARTA
217,KULON PROGO,DAERAH ISTIMEWA YOGYAKARTA
219,KEDIRI,JAWA TIMUR
223,SITUBONDO,JAWA TIMUR
224,SURABAYA,JAWA TIMUR
225,JEMBER,JAWA TIMUR
227,JOMBANG,JAWA TIMUR
229,BANYUWANGI,JAWA TIMUR
230,PASURUAN,JAWA TIMUR
233,MAGETAN,JAWA TIMUR
235,MALANG,JAWA TIMUR
236,BLITAR,JAWA TIMUR
237,SIDOARJO,JAWA TIMUR
240,TULUNGAGUNG,JAWA TIMUR
241,MOJOKERTO,JAWA TIMUR
242,MADIUN,JAWA TIMUR
243,PONOROGO,JAWA TIMUR
245,NGANJUK,JAWA TIMUR
248,BATU,JAWA TIMUR
249,TANGERANG,BANTEN
250,SERANG,BANTEN
253,TANGERANG SELATAN,BANTEN
254,CILEGON,BANTEN
256,KARANGASEM,BALI
258,TABANAN,BALI
259,GIANYAR,BALI
260,BADUNG,BALI
262,BULELENG,BALI
263,DENPASAR,BALI
264,MATARAM,NUSA TENGGARA BARAT
267,SUMBAWA,NUSA TENGGARA BARAT
268,LOMBOK TENGAH,NUSA TENGGARA BARAT
269,LOMBOK TIMUR,NUSA TENGGARA BARAT
271,LOMBOK BARAT,NUSA TENGGARA BARAT
272,BIMA,NUSA TENGGARA BARAT
273,TIMOR TENGAH SELATAN,NUSA TENGGARA TIMUR
275,ALOR,NUSA TENGGARA TIMUR
276,ENDE,NUSA TENGGARA TIMUR
278,KUPANG,NUSA TENGGARA TIMUR
279,SIKKA,NUSA TENGGARA TIMUR
280,NGADA,NUSA TENGGARA TIMUR
281,TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR
282,BELU,NUSA TENGGARA TIMUR
285,SUMBA BARAT DAYA,NUSA TENGGARA TIMUR
286,SUMBA BARAT,NUSA TENGGARA TIMUR
287,SUMBA TENGAH,NUSA TENGGARA TIMUR
288,SUMBA TIMUR,NUSA TENGGARA TIMUR
289,ROTE NDAO,NUSA TENGGARA TIMUR
290,MANGGARAI TIMUR,NUSA TENGGARA TIMUR
291,MANGGARAI,NUSA TENGGARA TIMUR
293,MANGGARAI BARAT,NUSA TENGGARA TIMUR
294,LANDAK,KALIMANTAN BARAT
295,KETAPANG,KALIMANTAN BARAT
296,SINTANG,KALIMANTAN BARAT
297,KUBU RAYA,KALIMANTAN BARAT
299,PONTIANAK,KALIMANTAN BARAT
301,BENGKAYANG,KALIMANTAN BARAT
302,KAPUAS HULU,KALIMANTAN BARAT
303,SAMBAS,KALIMANTAN BARAT
304,SINGKAWANG,KALIMANTAN BARAT
305,SANGGAU,KALIMANTAN BARAT
306,MELAWI,KALIMANTAN BARAT
307,SEKADAU,KALIMANTAN BARAT
308,KOTAWARINGIN TIMUR,KALIMANTAN TENGAH
309,SUKAMARA,KALIMANTAN TENGAH
310,KOTAWARINGIN BARAT,KALIMANTAN TENGAH
311,BARITO TIMUR,KALIMANTAN TENGAH
312,KAPUAS,KALIMANTAN TENGAH
313,PULANG PISAU,KALIMANTAN TENGAH
314,LAMANDAU,KALIMANTAN TENGAH
316,KATINGAN,KALIMANTAN TENGAH
317,BARITO SELATAN,KALIMANTAN TENGAH
318,MURUNG RAYA,KALIMANTAN TENGAH
319,BARITO UTARA,KALIMANTAN TENGAH
320,GUNUNG MAS,KALIMANTAN TENGAH
321,PALANGKA RAYA,KALIMANTAN TENGAH
323,BANJAR,KALIMANTAN SELATAN
324,HULU SUNGAI TENGAH,KALIMANTAN SELATAN
325,TABALONG,KALIMANTAN SELATAN
328,TANAH BUMBU,KALIMANTAN SELATAN
329,BANJARMASIN,KALIMANTAN SELATAN
330,KOTABARU,KALIMANTAN SELATAN
334,BANJARBARU,KALIMANTAN SELATAN
335,KUTAI BARAT,KALIMANTAN TIMUR
336,SAMARINDA,KALIMANTAN TIMUR
337,PASER,KALIMANTAN TIMUR
338,KUTAI KARTANEGARA,KALIMANTAN TIMUR
339,BERAU,KALIMANTAN TIMUR
340,PENAJAM PASER UTARA,KALIMANTAN TIMUR
341,BONTANG,KALIMANTAN TIMUR
343,KUTAI TIMUR,KALIMANTAN TIMUR
344,BALIKPAPAN,KALIMANTAN TIMUR
345,MALINAU,KALIMANTAN UTARA
346,NUNUKAN,KALIMANTAN UTARA
347,BULUNGAN BULONGAN,KALIMANTAN UTARA
349,TARAKAN,KALIMANTAN UTARA
350,BOLAANG MONGONDOW BOLMONG,SULAWESI UTARA
352,MINAHASA SELATAN,SULAWESI UTARA
353,BITUNG,SULAWESI UTARA
354,MINAHASA,SULAWESI UTARA
355,KEPULAUAN SANGIHE,SULAWESI UTARA
356,MINAHASA UTARA,SULAWESI UTARA
357,KEPULAUAN TALAUD,SULAWESI UTARA
358,KEPULAUAN SIAU TAGULANDANG BIARO SITARO,SULAWESI UTARA
359,MANADO,SULAWESI UTARA
363,KOTAMOBAGU,SULAWESI UTARA
364,TOMOHON,SULAWESI UTARA
365,BANGGAI KEPULAUAN,SULAWESI TENGAH
368,PARIGI MOUTONG,SULAWESI TENGAH
371,POSO,SULAWESI TENGAH
373,MOROWALI,SULAWESI TENGAH
374,TOJO UNA-UNA,SULAWESI TENGAH
375,BANGGAI,SULAWESI TENGAH
376,SIGI,SULAWESI TENGAH
377,PALU,SULAWESI TENGAH
380,BONE,SULAWESI SELATAN
386,LUWU TIMUR,SULAWESI SELATAN
391,PALOPO,SULAWESI SELATAN
392,TORAJA UTARA,SULAWESI SELATAN
393,LUWU,SULAWESI SELATAN
395,MAKASSAR,SULAWESI SELATAN
397,TANA TORAJA,SULAWESI SELATAN
400,GOWA,SULAWESI SELATAN
402,PAREPARE,SULAWESI SELATAN
403,KOLAKA,SULAWESI TENGGARA
408,KENDARI,SULAWESI TENGGARA
421,GORONTALO,GORONTALO
423,POHUWATO,GORONTALO
425,MAMUJU,SULAWESI BARAT
427,MAMUJU UTARA,SULAWESI BARAT
429,POLEWALI MANDAR,SULAWESI BARAT
430,MAMASA,SULAWESI BARAT
431,MALUKU TENGGARA BARAT,MALUKU
432,MALUKU TENGGARA,MALUKU
433,SERAM BAGIAN BARAT,MALUKU
434,MALUKU TENGAH,MALUKU
436,MALUKU BARAT DAYA,MALUKU
437,AMBON,MALUKU
440,KEPULAUAN ARU,MALUKU
441,TUAL,MALUKU
442,HALMAHERA BARAT,MALUKU UTARA
446,KEPULAUAN SULA,MALUKU UTARA
448,HALMAHERA SELATAN,MALUKU UTARA
449,HALMAHERA TENGAH,MALUKU UTARA
450,HALMAHERA TIMUR,MALUKU UTARA
451,HALMAHERA UTARA,MALUKU UTARA
454,ASMAT,PAPUA
455,JAYAPURA,PAPUA
456,PANIAI,PAPUA
457,MAPPI,PAPUA
459,PUNCAK JAYA,PAPUA
461,JAYAWIJAYA,PAPUA
464,BIAK NUMFOR,PAPUA
465,KEPULAUAN YAPEN YAPEN WAROPEN,PAPUA
466,PUNCAK,PAPUA
468,WAROPEN,PAPUA
469,NABIRE,PAPUA
470,MIMIKA,PAPUA
471,BOVEN DIGOEL,PAPUA
472,YAHUKIMO,PAPUA
473,SARMI,PAPUA
474,MERAUKE,PAPUA
477,SUPIORI,PAPUA
481,MANOKWARI SELATAN,PAPUA BARAT
482,MANOKWARI,PAPUA BARAT
483,KAIMANA,PAPUA BARAT
484,MAYBRAT,PAPUA BARAT
485,SORONG SELATAN,PAPUA BARAT
486,FAKFAK,PAPUA BARAT
489,SORONG,PAPUA BARAT
490,TELUK WONDAMA,PAPUA BARAT
491,TELUK BINTUNI,PAPUA BARAT
